,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
0,BCG vaccine,all vaccines should comply with the who requirements for biological substances.,,L03AX03,WHO,,
1,Japanese encephalitis vaccine,all vaccines should comply with the who requirements for biological substances.,,"J07BA02, J07BA03",WHO,,
2,Medicines for COVID-19,refer to who living guidelines,,,WHO,,
3,abacavir,oral  solid,300 mg tablet (as sulfate),J05AF06,WHO,,
4,abacavir + lamivudine,oral  solid,"120 mg (as sulfate) + 60 mg tablet (dispersible, scored)",J05AR02,WHO,,
5,abacavir + lamivudine + lopinavir + ritonavir,oral  solid,30 mg + 15 mg + 40 mg + 10 mg capsule containing oral granules,,WHO,,
6,abemaciclib,,,,WHO,,
7,abiraterone,oral  solid,250 mg; 500 mg,L02BX03,WHO,,
8,acamprosate calcium,oral  solid  tablet,333 mg,N07BB03,WHO,,
9,acetazolamide,oral  solid,250 mg,S01EC01,WHO,,
10,acetic acid,local  otological  drops,2% in alcohol,S02AA10,WHO,,
11,acetylcysteine,parenteral  general injections  iv,200 mg per  mL in 10 mL ampoule,V03AB23,WHO,,
13,acetylsalicylic acid,oral  solid,100 mg,B01AC06,WHO,,
20,acetylsalicylic acid + atorvastatin + ramipril,oral  solid  tablet,100 mg + 20 mg + 2.5 mg; 100 mg + 20 mg + 5 mg; 100 mg + 20 mg + 10 mg; 100 mg + 40 mg + 2.5 mg; 100 mg + 40 mg + 5 mg; 100 mg   + 40 mg + 10 mg,C10BX06,WHO,,
23,acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,oral  solid  tablet,100 mg + 20 mg + 5 mg + 50 mg + 12.5 mg,,WHO,,
26,aciclovir,local  ophthalmological  ointment,3% w/w,S01AD03,WHO,,
30,aclidinium,,,,WHO,,
31,activated charcoal,oral  other,powder,A07BA01,WHO,,
32,adalimumab,parenteral  general injections  sc,40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL,L04AB04,WHO,,
36,afatinib,,,,WHO,,
37,albendazole,oral  solid  tablet,"400 mg (chewable, scored)",P02CA03,WHO,,
46,alcohol based hand rub,local  topical  solution,80% v/v ethanol; 75% v/v isopropyl alcohol,D08AX08,WHO,,
47,alcuronium,parenteral  general injections  iv,5 mg per  mL in 2 mL ampoule (alcuronium chloride),M03AA01,WHO,,
48,alfacalcidol,oral  liquid,2 µg per  mL,A11CC03,WHO,,
50,all-trans retinoic acid,oral  solid,10 mg capsule,L01XF01,WHO,,
51,allopurinol,oral  solid,100 mg,M04AA01,WHO,,
53,alprostadil (prostaglandin E1),parenteral  general injections  iv,0.5 mg per  mL in alcohol,C01EA01,WHO,,
54,alteplase,parenteral  general injections  iv,10 mg in vial powder for injection; 20 mg in vial powder for injection; 50 mg in vial powder for injection,B01AD02,WHO,,
55,amidotrizoate,parenteral  general injections  unspecified,140 to 420 mg iodine per  mL in 20 mL ampoule (as sodium or meglumine salt),V08AA01,WHO,,
56,amikacin,,,,WHO,,
65,amiloride,oral  solid,5 mg (hydrochloride),C03DB01,WHO,,
67,amiodarone,parenteral  general injections  iv,50 mg per  mL in 3 ampoule (hydrochloride),C01BD01,WHO,,
68,amitriptyline,oral  solid,25 mg; 75 mg,N06AA09,WHO,,
70,amlodipine,oral  solid,"5 mg (as maleate, mesylate or besylate)",C08CA01,WHO,,
71,amodiaquine,oral  solid,153 mg (as hydrochloride); 200 mg (as hydrochloride),P01BA06,WHO,,
73,amodiaquine - sulfadoxine + pyrimethamine,oral  solid,76.5 mg (as hydrochloride) [3] + 250 mg + 12.5 mg [1] dispersible tablets in co-package; 153 mg (as hydrochloride) [3] + 500 mg + 25 mg [1] dispersible tablets in co-package,"P01BA06, P01BD51",WHO,,
74,amoxicillin,oral  liquid,125 mg per 5 mL (as trihydrate) powder for oral liquid; 250 mg per 5 mL (as trihydrate) powder for oral liquid,J01CA04,WHO,,
87,amoxicillin + clavulanic acid,parenteral  general injections  iv,500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection,J01CR02,WHO,,
104,amphotericin B,parenteral  general injections  iv,50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),J02AA01,WHO,,
112,ampicillin,parenteral  general injections  unspecified,500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection,J01CA01,WHO,,
121,anakinra,parenteral  general injections  sc,100 mg per 0.67 mL in pre-filled syringe,L04AC03,WHO,,
122,anastrozole,oral  solid,1 mg tablet,L02BG03,WHO,,
124,anidulafungin,,,,WHO,,
125,ansuvimab,parenteral  general injections  iv,400 mg powder for injection,J06BD04,WHO,,
126,anti-D immunoglobulin,parenteral  general injections  iv,250 µg in single-dose vial,J06BB01,WHO,,
128,anti-rabies immunoglobulin,parenteral  general injections  im,150 iu per  mL in vial,J06BB05,WHO,,
129,anti-rabies virus monoclonal antibodies,parenteral  locoregional injections  intradermal,40 iu per  mL in 1.25 mL vial (human); 40 iu per  mL in 2.5 mL vial (human); 100 iu per  mL in 2.5 mL vial (human); 300 iu per  mL in 10 mL vial (murine); 600 iu per  mL in 1 mL vial (murine); 600 iu per  mL in 2.5 mL vial (murine); 600 iu per  mL in 5 mL vial (murine),,WHO,,
130,anti-tetanus immunoglobulin,parenteral  general injections  im,500 iu in vial,J06BB02,WHO,,
131,antirabies hyperimmune serum,parenteral  general injections  unspecified,1000 iu in 5 mL ampoule,,WHO,,
132,antivenom immunoglobulin,parenteral  general injections  iv,,,WHO,,
133,antivenom sera,parenteral  general injections  iv,,,WHO,,
134,apixaban,,,,WHO,,
136,aprepitant,oral  liquid,125 mg powder for oral suspension (in sachet),A04AD12,WHO,,
137,aripiprazole,,,,WHO,,
138,arsenic trioxide,parenteral  general injections  iv,1 mg per  mL concentrate for solution for infusion; 2 mg per  mL concentrate for solution for infusion,L01XX27,WHO,,
139,artemether,parenteral  general injections  im,80 mg per  mL in 1 mL ampoule (oily injection),P01BE02,WHO,,
141,artemether + lumefantrine,oral  solid,20 mg + 120 mg tablet; 20 mg + 120 mg dispersible tablet,P01BF01,WHO,,
143,artesunate,parenteral  general injections  iv,60 mg in ampoule containing anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution,P01BE03,WHO,,
145,artesunate + amodiaquine,oral  solid,25 mg + 67.5 mg tablet; 50 mg + 135 mg tablet; 100 mg + 270 mg tablet,P01BF03,WHO,,
147,artesunate + mefloquine,oral  solid,25 mg + 55 mg tablet; 100 mg + 220 mg tablet,P01BF02,WHO,,
149,artesunate + pyronaridine,oral  solid,60 mg + 180 mg tablet; 20 mg + 60 mg granules,P01BF06,WHO,,
151,ascorbic acid,oral  solid,50 mg,A11GA01,WHO,,
