Variable,Section,Label,Definition,Type,Format,Choices/Unit,Ranges,
innovation,Innovation Characteristics,Innovation Name,Primary name for the innovation as reported by the source used in the horizon scan.,text,string,,,
dose,Innovation Characteristics,Dosage,"Dosage information for the innovation, including strength, frequency, and duration where applicable.",text,string,"As reported (e.g., mg, mg/kg, IU, mL, frequency)",,
form,Innovation Characteristics,Delivery Form,Physical or clinical form in which the innovation is delivered or administered.,text,factor,Tablet; Capsule; Injection; Infusion; Patch; Device; Software; Assay; Other,,
alternative_names,Innovation Characteristics,Alternative Names,"Other names used for the same innovation (generic name, brand names, synonyms, registry names, database aliases).",text,list,,,
category,Innovation Characteristics,Innovation Category,"High-level category of the innovation, used to drive downstream fields like technology and readiness requirements.",text,factor,Medical Device; Diagnostic; Therapeutics; Vaccine,,
technology,Innovation Characteristics,Technology,Technology classification within the innovation category (more specific than category). Should be a controlled vocabulary to support filtering and comparison.,text,factor,"Diagnostics: RDT, molecular (PCR/NAAT), antigen, antibody/serology, culture, imaging, biosensor, multiplex panel, AI/algorithmic. Therapeutics: small molecule, biologic/monoclonal, gene therapy, cell therapy, drug-device combination, long-acting formulation, repurposed drug. Vaccines: mRNA, viral vector, protein subunit, conjugate, live attenuated, inactivated, DNA, nanoparticle. Devices: implantable, wearable, point-of-care device, digital health, decision support, specimen collection, cold-chain/logistics.",,
disease,Innovation Characteristics,Disease,Disease domain targeted by the innovation (primary classification for the scan).,text,factor,Malaria; HIV; Tuberculosis; MNCH,,
target_population,,,,,,,,
indication,Innovation Characteristics,Indication,"Specific clinical indication and use-case (what condition, stage, population, setting, and intent). Example: “uncomplicated falciparum malaria treatment”, “TB preventive therapy”, “PPH prevention”, “pediatric HIV viral load monitoring”.",text,string,Free text: condition + intent + population + setting,,
archetype,Innovation Characteristics,Archetype,"Maturity archetype aligned to Young et al definitions, used as a simplified development stage label.",text,factor,,,
scope,Innovation Characteristics,Data Scope,"Marker to indicate the scope the data comes from (e.g. Global, Kenya, South Africa, Senegal).",text,factor,Senegal; South Africa; Kenya; Global,,
phase_1_status,Regulatory,Phase 1 Trial Status,Phase 1 trial status,text,factor,Ongoing/Recruiting; Completed; Suspended; Unknown,,
phase_1_date,Regulatory,Phase 1 Trial Status Date,"Date the trial status was achieved (e.g. trial completion) or last verified or updated (from registry update date, publication date, or extraction date).",date,dd-mm-YYYY,,,
phase_2_status,Regulatory,Phase 2 Trial Status,Phase 2 trial status,text,factor,Ongoing/Recruiting; Completed; Suspended; Unknown,,
phase_2_date,Regulatory,Phase 2 Trial Status Date,"Date the trial status was achieved (e.g. trial completion) or last verified or updated (from registry update date, publication date, or extraction date).",date,dd-mm-YYYY,,,
phase_3_status,Regulatory,Phase 3 Trial Status,Phase 3 trial status,text,factor,Ongoing/Recruiting; Completed; Suspended; Unknown,,
phase_3_date,Regulatory,Phase 3 Trial Status Date,"Date the trial status was achieved (e.g. trial completion) or last verified or updated (from registry update date, publication date, or extraction date).",date,dd-mm-YYYY,,,
phase_4_status,Regulatory,Phase 4 Trial Status,Phase 4 trial status,text,factor,Ongoing/Recruiting; Completed; Suspended; Unknown,,
phase_4_date,Regulatory,Phase 4 Trial Status Date,"Date the trial status was achieved (e.g. trial completion) or last verified or updated (from registry update date, publication date, or extraction date).",date,dd-mm-YYYY,,,
trial_status,Regulatory,Clinical Trial Status,Most advanced known clinical trial development status (or best available evidence stage) at the time of extraction.,text,factor,Preclinical; Phase 1; Phase 2; Phase 3; Phase 4; Observational; Implementation/Pilot; Not in trials; Unknown,,
date_trial_status,Regulatory,Date Trial Status,"Date the trial status was last verified or updated (from registry update date, publication date, or extraction date).",date,dd-mm-YYYY,,Must be a valid date,
south_africa_nra,Regulatory,National Regulatory Approval (NRA) – South Africa,Whether the innovation has approval/authorization by the South African Health Products Regulatory Authority (SAHPRA) for the setting being evaluated.,text,factor,Yes; No; Unknown,,
south_africa_nra_date,Regulatory,NRA Date – South Africa,Date of NRA approval/authorization in South Africa (if known).,date,dd-mm-YYYY,,Must be a valid date,
kenya_nra,Regulatory,National Regulatory Approval (NRA) – Kenya,Whether the innovation has approval/authorization by the Pharmacy and Poisons Board (PPB) of Kenya for the setting being evaluated.,text,factor,Yes; No; Unknown,,
kenya_nra_date,Regulatory,NRA Date – Kenya,Date of NRA approval/authorization in Kenya (if known).,date,dd-mm-YYYY,,Must be a valid date,
senegal_nra,Regulatory,National Regulatory Approval (NRA) – Senegal,Whether the innovation has approval/authorization by the Direction de la Pharmacie et du Médicament (DPM) of Senegal for the setting being evaluated.,text,factor,Yes; No; Unknown,,
senegal_nra_date,Regulatory,NRA Date – Senegal,Date of NRA approval/authorization in Senegal (if known).,date,dd-mm-YYYY,,Must be a valid date,
other_nra,Regulatory,Other National Regulatory Agency that approved the innovation,Other National Regulatory Agency that approved the innovation,text,string,,,
other_nra_date,Regulatory,NRA Date Other,Date of other NRA approval/authorization (if known).,date,dd-mm-YYYY,,,
gra,Regulatory,Global Regulatory Approval (GRA),Whether the innovation has approval/authorization/prequalification by a global body.,text,factor,Yes; No; Unknown,,
gra_date,Regulatory,GRA Date,Date of global approval/prequalification (if known).,date,dd-mm-YYYY,,Must be a valid date,
gra_body,Regulatory,GRA Body,"Global body granting approval or listing (for example: WHO PQ, FDA, EMA, Global Fund listing where applicable).",text,factor,WHO PQ; FDA; EMA; Other,,
gra_note,Regulatory,GRA Note,"Notes supporting GRA fields (type of approval, scope, link/reference, ambiguity).",text,string,,,
who_eml,Regulatory,In Essential Medicine List (WHO),Whether the innovation is listed on WHO Essential Medicines List.,text,factor,Yes; No; Unknown,,
who_eml_date,Regulatory,EML Date (WHO),Date of EML publication or date the innovation was included (if available).,date,dd-mm-YYYY,,Must be a valid date,
kenya_eml,Regulatory,In Essential Medicine List (Kenya),Whether the innovation is listed on Kenya Essential Medicines List.,,,,,
kenya_eml_date,Regulatory,EML Date (Kenya),Date of EML publication or date the innovation was included (if available).,,,,,
south_africa_eml,Regulatory,In Essential Medicine List (SA),Whether the innovation is listed on South Africa Essential Medicines List.,,,,,
south_africa_eml_date,Regulatory,EML Date (SA),Date of EML publication or date the innovation was included (if available).,,,,,
senegal_eml,Regulatory,In Essential Medicine List (Senegal),Whether the innovation is listed on Senegal Essential Medicines List.,,,,,
senegal_eml_date,Regulatory,EML Date (Senegal),Date of EML publication or date the innovation was included (if available).,,,,,
prob_success,Introduction Readiness,Probability of Success,"Probability of success based on the method by Terry RF, Yamey G, Miyazaki-Krause R et al. Funding global health product R&D: the Portfolio-To-Impact Model (P2I), a new tool for modelling the impact of different research portfolios [version 2; peer review: 2 approved]",numeric,float,Probability (0–1),0 to 1,Calculated
procurement,Introduction Readiness,Procurement Model,Likely procurement mechanism in-country (how it would be bought and by whom).,text,factor,Government tender; Donor-funded; Pooled procurement; Private sector; Mixed; Unknown,,Raw
reg_approval,Introduction Readiness,Regulatory Approval,"Summary regulatory readiness derived from EML, NRA, and GRA status (a synthesized field for scoring).",text,factor,None; NRA only; GRA only; NRA+GRA; EML listed; Unknown,,Derived
policy_readiness,Introduction Readiness,Policy Readiness,"Degree to which policies and strategies support adoption (WHO-level for global or national strategies including reimbursement, prioritization).",text,factor,Low; Medium; High; Unknown,,Derived
social_context,Introduction Readiness,Social Context,"Contextual fit, acceptability, equity implications, and likely adoption barriers related to the innovation and setting.",text,factor,Low barrier; Moderate barrier; High barrier; Unknown,,Derived
guidelines,Introduction Readiness,Guidelines and Training,Likely procurement mechanism in-country (how it would be bought and by whom).,text,factor,Not available; In development; Available (limited); Available (widely); Unknown,,Derived
policy_implemented,Introduction Readiness,Policy Implemented,"Whether relevant policies are actively implemented, including programmatic coverage.",text,factor,Yes; No; Partial; Unknown,,Derived
date_market,Introduction Readiness,Date to Reach Market,"Expected date of market entry or availability for procurement in the target setting - based on the method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",date,dd-mm-YYYY,,Valid date; missing allowed,Calculated
country_supply,Introduction Readiness,In Country Supply,"Whether there is local manufacturing, packaging, assembly, or reliable in-country supply channels.",text,factor,Yes; No; Partial; Unknown,,Derived
distribution,Introduction Readiness,Distribution,"Expected distribution channel and constraints (cold chain, last-mile, facility level, community delivery).",text,factor,Central medical stores; Facility-based; Community-based; Private pharmacies; Hybrid; Unknown,,Derived
delivery_model,Introduction Readiness,Delivery Model,"How the innovation is delivered clinically or programmatically (who delivers it, where, and workflow).",text,factor,Facility outpatient; Inpatient; Community health worker; Outreach campaigns; Self-administered; Digital/remote; Hybrid,,Raw
efficacy,Introduction Readiness,Efficacy,"Best available efficacy/effectiveness estimate (and context), ideally quantitative but can be summarized when early-stage.",numeric,float or string,proportion (0–1),If numeric: 0 to 1 (or 0 to 100 if percent),Raw
dalys,Impact Potential,Disability-Adjusted Life Years (DALYs),Baseline DALYs for the disease and geography relevant to the scan.,numeric,float,DALYs (count),≥ 0,Either
disease_prevalence,Impact Potential,Disease Prevalence,"Baseline prevalence for the disease and target setting, aligned to the analysis approach.",numeric,float,"Rate per 100,000",,Raw
improvement,Impact Potential,Improvement,"Mechanism of benefit relative to standard of care (what improves and how). Example: higher sensitivity, fewer stockouts, shorter time-to-treatment, reduced adverse events.",text,string,Free text; optionally map to controlled terms later,,Raw
dalys_averted,Impact Potential,DALYs Averted,Estimated DALYs averted attributable to adoption of the innovation under stated assumptions.,numeric,float,DALYs averted (count), ≥ 0,Calculated
deaths_averted,Impact Potential,Deaths Averted,Estimated deaths averted attributable to adoption of the innovation under stated assumptions.,numeric,float,Deaths averted (count),≥ 0,Calculated
yll,Impact Potential,Years of Life Lost (YLL),Estimated years of life lost averted due to the innovation (subset of DALYs or separate component depending on approach).,numeric,float,Years (count), ≥ 0,Calculated
hs_costs,Impact Potential,Health Systems Costs,"R&D estimates according to Terry RF, Gardner CA, Dieleman JL, et al. *Funding global health product R&D: the Portfolio-to-Impact (P2I) model.* Health Policy Plan. 2018. ",numeric,float,USD,Any (can be negative for cost-saving),Calculated
dalys_monetized,Impact Potential,Monetized DALYs,Monetized value of DALYs averted,numeric,float,USD,Any,Calculated
time_to_regulatory_approval,Development Timeline,Time to Regulatory Approval,"Estimated time from proof of concept to first regulatory approval, based on the development stage-specific method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",numeric,float,Years,≥ 0,
time_approval_to_first_launch,Development Timeline,Time from Approval to First Launch,"Estimated time between regulatory approval and first country launch based on the method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",numeric,float,Years,≥ 0,
time_launch_to_20lmic,Development Timeline,Time from Launch to 20% LMIC Uptake,"Estimated time from first country launch to achieving 20% uptake in at least one LMIC based on the method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",numeric,float,Years,≥ 0,
expected_date_of_regulatory_approval,Development Timeline,Expected Regulatory Approval Date,"Expected date of first regulatory approval, calculated from trial completion date and estimated development time based on the method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",date,yyyy-mm-dd,,Valid date,
expected_date_of_first_launch,Development Timeline,Expected First Launch Date,"Expected date of first country-level launch, calculated from expected regulatory approval date based on the method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",date,yyyy-mm-dd,,Valid date,
expected_date_of_market,Development Timeline,Expected 20% Market Uptake Date,"Expected date when the innovation reaches 20% uptake in an LMIC based on the method by ""Mao, Wenhui et al. Development, launch, and scale-up of health products in low-income and middle-income countries: a retrospective analysis on 59 health products. The Lancet Global Health, Volume 13, Issue 6, e1132 - e1139""",date,yyyy-mm-dd,,,
readiness,Introduction Readiness,Overall Readiness Score,"Composite readiness score summarizing regulatory, policy, financing, and delivery preparedness.",integer,integer,Score,0–100,
financing,Introduction Readiness,Financing Readiness,Financing readiness score derived from probability of success and procurement model availability.,integer,integer,Count,0–2,
