innovation,eml,scope,disease,eml_date,nra,nra_date,gra,gra_date,gra_body,dose,form,alternative_names,category,technology,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,data_source,readiness,financing,impact_potential,introduction_readiness,date_proof_of_concept,date_first_regulatory,date_first_launch,proj_date_first_regulatory,proj_date_first_launch,proj_date_lmic_20_uptake
(Artesunate-Amodiaquine),NA,Kenya,Malaria,NA,No,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Artesunate-Amodiaquine),NA,Senegal,Malaria,NA,Yes,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Artesunate-Amodiaquine),NA,South Africa,Malaria,NA,NA,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Artesunate-Amodiaquine),NA,WHO,Malaria,NA,NA,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2GARD,NA,Kenya,Malaria,NA,No,NA,Yes,11/18/21,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,11/18/21,Phase 4,NA,11/18/21,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,11/18/21,11/18/21,11/18/21,11/18/21,11/18/21,11/18/26
2GARD,NA,Senegal,Malaria,NA,No,NA,Yes,11/18/21,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,11/18/21,Phase 4,NA,11/18/21,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,11/18/21,11/18/21,11/18/21,11/18/21,11/18/21,11/18/26
2GARD,NA,South Africa,Malaria,NA,NA,NA,Yes,11/18/21,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,11/18/21,Phase 4,NA,11/18/21,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,11/18/21,11/18/21,11/18/21,11/18/21,11/18/21,11/18/26
2GARD,NA,WHO,Malaria,NA,NA,NA,Yes,11/18/21,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,11/18/21,Phase 4,NA,11/18/21,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,11/18/21,11/18/21,11/18/21,11/18/21,11/18/21,11/18/26
3D power doppler (3DPD),NA,Kenya,MNCH,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3D power doppler (3DPD),NA,Senegal,MNCH,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
