Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model,source_file
ARCHITECT HIV Ag/Ab Combo,AltName A,Device,hiv,hiv,Phase 3,2009-11-01,"Sex: ALL; Healthy Volunteers: Yes; Criteria: Normal Healthy Population:

Inclusion Criteria:

* Apparently healthy individual at the time of enrollment as affirmed by the subject

Exclusion Criteria:

* HIV infection as affirmed by the subject

...",No,2009-12-31,FDA-67390,2.62,0.32,5.0,7.94,2012-06-14,2012-10-09,2017-10-10,1,GSK,86,Senegal,42.0,36,12,9,90,42,63,36,2,2,0,True,True,False,True,True,False,False,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
ARCHITECT HIV Ag/Ab Combo,Molecule Z,Device,hiv,hiv,Phase 3,2009-11-01,"Sex: ALL; Healthy Volunteers: Yes; Criteria: Normal Healthy Population:

Inclusion Criteria:

* Apparently healthy individual at the time of enrollment as affirmed by the subject

Exclusion Criteria:

* HIV infection as affirmed by the subject

...",No,2010-03-30,FDA-68245,2.62,0.32,5.0,7.94,2012-06-14,2012-10-09,2017-10-10,20,Novartis,12,Kenya,49.83333333333334,69,89,86,9,44,2,45,1,4,0,False,True,True,True,True,False,True,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
α1 Proteinase Inhibitor,AltName A,Biological,hiv,hiv,Phase 3,2014-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

1. HIV-1 patients must have confirmed HIV-1 disease, diagnosed using the standard criteria and be on antiretroviral therapy. Uninfected volunteers will be age and gender matched.
...",No,2014-12-21,FDA-90332,2.62,0.32,5.0,7.94,2017-02-11,2017-06-08,2022-06-09,90,GSK,71,Kenya,35.0,30,12,56,81,27,4,64,0,3,4,False,False,False,True,False,True,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Truvada,AltName B,Drug,hiv,hiv,Phase 2,2013-03-01,"Sex: MALE; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Male who has sex with other men (MSM) by self-report
* At least 18 years of age
* HIV-negative serostatus on baseline rapid oral HIV antibody test, and no signs or symptoms cons...",Yes,2013-06-30,FDA-75634,4.41,0.98,21.0,26.39,2017-07-28,2018-07-21,2039-07-21,74,Gilead,69,South Africa,29.33333333333333,53,46,11,16,8,42,73,1,4,3,True,False,True,True,True,False,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
collection of follow-up sample based on PRISM HIV O Plus result,TradeName X,Device,hiv,hiv,Phase 3,2008-08-01,"Sex: ALL; Age: >17 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Healthy donors that have consented to study...",No,2009-07-28,FDA-39584,2.62,0.32,5.0,7.94,2011-03-15,2011-07-10,2016-07-10,15,Pfizer,73,South Africa,45.33333333333334,40,37,42,66,57,30,73,1,4,3,True,False,True,True,True,True,False,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
HAART regimen,GenName Y,Drug,hiv,hiv,Phase 4,2013-05-01,"Sex: ALL; Age: >8 Years; Criteria: Step 1 Inclusion Criteria:

* Age greater than or equal to 8 to less than 25 years of age, at study entry
* Documentation of HIV-1 infection defined as positive results from two samples collected at d...",No,2014-03-17,FDA-86647,0.56,0.15,3.5,4.21,2013-11-21,2014-01-15,2017-07-16,8,J&J,50,South Africa,65.66666666666667,59,72,80,24,59,100,45,1,2,2,False,True,False,False,False,True,True,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
3TC or FTC monotherapy,Comp Beta,Drug,hiv,hiv,Phase 4,2013-05-01,"Sex: ALL; Age: >8 Years; Criteria: Step 1 Inclusion Criteria:

* Age greater than or equal to 8 to less than 25 years of age, at study entry
* Documentation of HIV-1 infection defined as positive results from two samples collected at d...",Yes,2014-04-29,FDA-24834,0.56,0.15,3.5,4.21,2013-11-21,2014-01-15,2017-07-16,24,J&J,81,Senegal,71.83333333333333,84,5,85,98,67,92,18,0,1,1,False,False,False,False,True,False,False,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
alpha-1-Proteinase Inhibitor,Product Alpha,Biological,hiv,hiv,Phase 3,2007-02-01,"Sex: MALE; Age: >30 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

1. HIV-1 patients must have confirmed HIV-1 disease, diagnosed using the standard criteria and be on antiretroviral therapy. Patients with inherited alpha-1 proteinase inhibitor d...",Yes,2007-04-05,FDA-94169,2.62,0.32,5.0,7.94,2009-09-14,2010-01-09,2015-01-10,76,Bayer,98,South Africa,29.66666666666667,16,35,19,7,44,57,36,0,2,2,False,False,True,False,False,True,False,False,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Darunavir/Ritonavir (DRV/r),AltName B,Drug,hiv,hiv,Phase 3,2013-09-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Occupational injury and non-occupational exposure with documented human immunodeficiency virus (HIV) exposure, or potential for HIV exposure
* Indication for HIV postexposure pr...",Yes,2014-03-04,FDA-81197,2.62,0.32,5.0,7.94,2016-05-11,2016-09-05,2021-09-06,6,Gilead,94,Senegal,35.16666666666666,25,42,48,65,15,16,36,0,3,1,False,False,False,True,True,False,True,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Lopinavir in fixed combination with Ritonavir,Molecule Z,Drug,hiv,hiv,Phase 3,2013-09-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Occupational injury and non-occupational exposure with documented human immunodeficiency virus (HIV) exposure, or potential for HIV exposure
* Indication for HIV postexposure pr...",No,2014-02-16,FDA-12876,2.62,0.32,5.0,7.94,2016-05-11,2016-09-05,2021-09-06,6,AstraZeneca,3,Overall,37.83333333333334,19,45,53,90,6,14,64,1,3,3,False,True,True,True,True,False,False,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
