Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model
Placebo,Molecule Z,Drug,Malaria,Malaria,Phase 4,2022-06-01,"Sex: ALL; Age: >8 Days; Criteria: Inclusion Criteria:

* Between 8 days and 59 months old
* Primary residence within catchment area of study site
* Available for full 6 month study
* No known allergy to macrolides/azalides
* Appropria...",No,2022-10-27,FDA-31883,0.56,0.15,3.5,4.21,2022-12-22,2023-02-15,2026-08-16,34,GSK,36,Kenya,46.83333333,87,12,56,7,50,69,27,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Artemether-lumefantrine,AltName B,Drug,Malaria,Malaria,Phase 4,2021-08-31,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

1, All participants:

1. Residency within 60 km of the study clinics either at TDH or at MGH
2. Agreement to come to clinic for all follow-up clinical and PK evaluations
3. Provis...",Yes,2022-03-15,FDA-41498,0.56,0.15,3.5,4.21,2022-03-23,2022-05-17,2025-11-15,3,Bayer,23,Overall,48.66666667,93,83,2,70,15,29,55,1,3,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Primaquine,Product Alpha,Drug,Malaria,Malaria,Phase 4,2015-03-01,"Sex: ALL; Age: >12 Months; Criteria: Inclusion Criteria:

* Age ³ 12 months
* P. vivax or P. falciparum monoinfection or P.v. / P.f. mixed infection
* Presence of axillary temperature ³ 37.5¡C or history of fever during the past 24 hrs
*...",Yes,2015-04-13,FDA-88023,0.56,0.15,3.5,4.21,2015-09-21,2015-11-15,2019-05-16,84,Sanofi,87,Overall,59.33333333,35,71,23,79,68,80,45,0,4,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Artemether-lumefantrine combination,Product Alpha,Drug,Malaria,Malaria,Phase 4,2015-03-01,"Sex: ALL; Age: >12 Months; Criteria: Inclusion Criteria:

* Age ³ 12 months
* P. vivax or P. falciparum monoinfection or P.v. / P.f. mixed infection
* Presence of axillary temperature ³ 37.5¡C or history of fever during the past 24 hrs
*...",No,2015-07-29,FDA-57908,0.56,0.15,3.5,4.21,2015-09-21,2015-11-15,2019-05-16,78,Bayer,68,Kenya,47.5,69,24,66,9,37,80,73,2,4,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
chloroquine,Molecule Z,Drug,Malaria,Malaria,Phase 4,2015-03-01,"Sex: ALL; Age: >12 Months; Criteria: Inclusion Criteria:

* Age ³ 12 months
* P. vivax or P. falciparum monoinfection or P.v. / P.f. mixed infection
* Presence of axillary temperature ³ 37.5¡C or history of fever during the past 24 hrs
*...",No,2015-08-05,FDA-90865,0.56,0.15,3.5,4.21,2015-09-21,2015-11-15,2019-05-16,86,Pfizer,62,Overall,63.83333333,52,56,83,63,92,37,45,1,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Artesunate-mefloquine,Comp Beta,Drug,Malaria,Malaria,Phase 4,2008-11-01,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria

* 12 years of age or older
* Accepts Healthy Volunteers
* P. falciparum parasitemia between 1,000 and 100,000 parasites/_l
* History of fever or presence of fever (temperature ³ 37...",Yes,2009-08-14,FDA-31643,0.56,0.15,3.5,4.21,2009-05-24,2009-07-18,2013-01-16,88,Bayer,90,Senegal,56.66666667,19,99,12,70,90,50,27,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Azithromycin,AltName B,Drug,Malaria,Malaria,Phase 4,2022-06-01,"Sex: ALL; Age: >8 Days; Criteria: Inclusion Criteria:

* Between 8 days and 59 months old
* Primary residence within catchment area of study site
* Available for full 6 month study
* No known allergy to macrolides/azalides
* Appropria...",No,2023-04-05,FDA-92577,0.56,0.15,3.5,4.21,2022-12-22,2023-02-15,2026-08-16,76,Sanofi,37,Kenya,38.33333333,19,75,42,48,12,34,55,1,2,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
COA566,GenName Y,Drug,Malaria,Malaria,Phase 4,2012-07-01,"Sex: ALL; Criteria: Inclusion:

* Subjects who were diagnosed as Asymptomatic Carrier (AC) by Rapid Diagnostic Test (RDT).
* Subjects who were diagnosed with a Symptomatic malaria episode, RDT-confirmed (SMRC)

Exclusion...",No,2013-04-25,FDA-91778,0.56,0.15,3.5,4.21,2013-01-21,2013-03-17,2016-09-15,1,Bayer,11,Kenya,46.83333333,15,11,68,91,25,71,55,1,3,2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Atovaquone-proguanil,GenName Y,Drug,Malaria,Malaria,Phase 4,2008-11-01,"Sex: ALL; Age: >12 Years; Criteria: Inclusion Criteria

* 12 years of age or older
* Accepts Healthy Volunteers
* P. falciparum parasitemia between 1,000 and 100,000 parasites/_l
* History of fever or presence of fever (temperature ³ 37...",No,2008-12-27,FDA-10272,0.56,0.15,3.5,4.21,2009-05-24,2009-07-18,2013-01-16,57,J&J,92,Overall,42.33333333,68,18,58,21,9,80,55,1,3,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Proguanil Oral Tablet,AltName B,Drug,Malaria,Malaria,Phase 4,2020-12-16,"Sex: ALL; Age: >1 Year; Criteria: Inclusion Criteria:

* Age greater than 12 months and less than 10 years at enrollment;
* Current attendance at or willingness to attend the study SCA clinic at HBCH;
* Residence in either Homa Bay Co...",Yes,2021-02-13,FDA-37872,0.56,0.15,3.5,4.21,2021-07-08,2021-09-01,2025-03-02,22,Merck,59,Senegal,37,63,71,79,3,0,6,55,1,3,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
